group,year,week,value
65P,2023,11,43574
65P,2023,12,43908
65P,2023,13,43558
65P,2023,14,42546
65P,2023,15,42307
65P,2023,16,42789
65P,2023,17,42970
65P,2023,18,42437
65P,2023,19,41036
65P,2023,20,39610
65P,2023,21,39320
65P,2023,22,38423
65P,2023,23,39158
65P,2023,24,39697
65P,2023,25,39847
65P,2023,26,38511
65P,2023,27,37781
65P,2023,28,37985
65P,2023,29,38560
65P,2023,30,39187
65P,2023,31,38409
65P,2023,32,39191
65P,2023,33,40354
65P,2023,34,42687
65P,2023,35,42200
65P,2023,36,43353
65P,2023,37,42658
65P,2023,38,41158
65P,2023,39,40206
65P,2023,40,39630
65P,2023,41,39007
65P,2023,42,39462
65P,2023,43,40476
65P,2023,44,41141
65P,2023,45,41624
65P,2023,46,42566
65P,2023,47,43106
65P,2023,48,44467
65P,2023,49,43530
85P,2021,0,0
85P,2021,1,7685
85P,2021,2,17141
85P,2021,3,27647
85P,2021,4,36541
85P,2021,5,42033
85P,2021,6,45340
85P,2021,7,47687
85P,2021,8,48090
85P,2021,9,47137
85P,2021,10,46632
85P,2021,11,46040
85P,2021,12,45541
85P,2021,13,45323
85P,2021,14,45027
85P,2021,15,44927
85P,2021,16,44929
85P,2021,17,44803
85P,2021,18,45015
85P,2021,19,44412
85P,2021,20,43543
85P,2021,21,42977
85P,2021,22,42545
85P,2021,23,42148
85P,2021,24,42357
85P,2021,25,42372
85P,2021,26,42962
85P,2021,27,43715
85P,2021,28,44564
85P,2021,29,46693
85P,2021,30,48418
85P,2021,31,50826
85P,2021,32,53736
85P,2021,33,55959
85P,2021,34,57426
85P,2021,35,58778
85P,2021,36,61036
85P,2021,37,61931
85P,2021,38,62121
85P,2021,39,62748
85P,2021,40,63295
85P,2021,41,64241
85P,2021,42,65749
85P,2021,43,67567
85P,2021,44,68936
85P,2021,45,71085
85P,2021,46,72956
85P,2021,47,75117
85P,2021,48,78667
85P,2021,49,82282
85P,2021,50,85173
85P,2021,51,88157
85P,2021,52,91290
85P,2022,0,0
85P,2022,1,2983
85P,2022,2,6256
85P,2022,3,9883
85P,2022,4,14520
85P,2022,5,19329
85P,2022,6,22750
85P,2022,7,25397
85P,2022,8,26416
85P,2022,9,27248
85P,2022,10,28382
85P,2022,11,29608
85P,2022,12,31455
85P,2022,13,33884
